"date","site","pop"
2020-08-24,"MSD03",55928
2020-08-24,"MSD04",32460
2020-08-24,"MSD05",31269
2020-08-31,"MSD03",55928
2020-08-31,"MSD04",32460
2020-08-31,"MSD05",31269
2020-09-07,"MSD03",55928
2020-09-07,"MSD04",32460
2020-09-07,"MSD05",31269
2020-09-14,"MSD03",55928
2020-09-14,"MSD04",32460
2020-09-14,"MSD05",31269
2020-09-21,"MSD03",55928
2020-09-21,"MSD04",32460
2020-09-21,"MSD05",31269
2020-09-28,"MSD03",55928
2020-09-28,"MSD04",32460
2020-09-28,"MSD05",31269
2020-10-05,"MSD03",55928
2020-10-05,"MSD04",32460
2020-10-05,"MSD05",31269
2020-10-12,"MSD03",55928
2020-10-12,"MSD04",32460
2020-10-12,"MSD05",31269
2020-10-19,"MSD03",55928
2020-10-19,"MSD04",32460
2020-10-19,"MSD05",31269
2020-10-26,"MSD03",55928
2020-10-26,"MSD04",32460
2020-10-26,"MSD05",31269
2020-11-02,"MSD03",55928
2020-11-02,"MSD04",32460
2020-11-02,"MSD05",31269
2020-11-09,"MSD03",55928
2020-11-09,"MSD04",32460
2020-11-09,"MSD05",31269
2020-11-16,"MSD03",55928
2020-11-16,"MSD04",32460
2020-11-16,"MSD05",31269
2020-11-23,"MSD03",55928
2020-11-23,"MSD04",32460
2020-11-23,"MSD05",31269
2020-11-30,"MSD03",55928
2020-11-30,"MSD04",32460
2020-11-30,"MSD05",31269
2020-12-07,"MSD03",55928
2020-12-07,"MSD04",32460
2020-12-07,"MSD05",31269
2020-12-14,"MSD03",55928
2020-12-14,"MSD04",32460
2020-12-14,"MSD05",31269
2020-12-21,"MSD03",55928
2020-12-21,"MSD04",32460
2020-12-21,"MSD05",31269
2020-12-28,"MSD03",55928
2020-12-28,"MSD04",32460
2020-12-28,"MSD05",31269
2021-01-04,"MSD03",55928
2021-01-04,"MSD04",32460
2021-01-04,"MSD05",31269
2021-01-11,"MSD03",55928
2021-01-11,"MSD04",32460
2021-01-11,"MSD05",31269
2021-01-18,"MSD03",55928
2021-01-18,"MSD04",32460
2021-01-18,"MSD05",31269
2021-01-25,"MSD03",55928
2021-01-25,"MSD04",32460
2021-01-25,"MSD05",31269
2021-02-01,"MSD03",55928
2021-02-01,"MSD04",32460
2021-02-01,"MSD05",31269
2021-02-08,"MSD03",55928
2021-02-08,"MSD04",32460
2021-02-08,"MSD05",31269
2021-02-15,"MSD03",55928
2021-02-15,"MSD04",32460
2021-02-15,"MSD05",31269
2021-02-22,"MSD03",55928
2021-02-22,"MSD04",32460
2021-02-22,"MSD05",31269
